Detector;Time;qPKW;vPKW
302:25Din;360;2;50
302:27Din;360;18;51
302:29Din;360;5;49
302:3Din;360;1;47
302:5Din;360;9;51
302:7Din;360;3;49
302:9Din;360;11;48
306:11Din;360;7;49
306:13Din;360;8;50
306:15Din;360;2;48
306:17Din;360;3;50
306:19Din;360;0;48
306:1Din;360;12;50
306:21Din;360;5;49
306:23Din;360;11;48
306:25Din;360;8;48
306:27Din;360;9;49
306:29Din;360;5;47
306:3Din;360;21;49
306:5Din;360;11;50
306:7Din;360;4;49
306:9Din;360;3;48
402:10Din;360;3;51
402:12Din;360;1;48
402:14Din;360;5;46
402:16Din;360;6;49
402:18Din;360;0;49
402:1Din;360;21;51
402:3Din;360;10;48
402:5Din;360;7;49
402:8Din;360;0;47
404:11Din;360;3;48
404:13Din;360;20;49
404:15Din;360;17;49
404:17Din;360;0;48
404:1Din;360;13;49
404:20Din;360;13;48
404:21Din;360;22;47
404:23Din;360;16;50
404:3Din;360;10;48
404:5Din;360;1;50
404:8Din;360;20;48
404:9Din;360;11;48
502:11Din;360;81;47
502:13Din;360;12;51
502:15Din;360;0;49
502:17Din;360;22;51
502:19Din;360;11;52
502:1Din;360;0;50
502:21Din;360;5;49
502:23Din;360;8;49
502:3Din;360;8;49
502:5Din;360;6;50
502:7Din;360;6;50
502:9Din;360;4;50
601:11Din;360;5;48
601:13Din;360;3;49
601:15Din;360;0;45
601:17Din;360;1;47
601:1Din;360;4;50
601:5Din;360;0;53
601:7Din;360;2;51
302:11Din;420;23;45
302:13Din;420;9;49
302:15Din;420;11;50
302:17Din;420;6;52
302:19Din;420;2;49
302:1Din;420;0;47
302:21Din;420;28;49
302:22Din;420;9;48
302:24Din;420;3;48
302:25Din;420;4;50
302:27Din;420;56;49
302:29Din;420;10;48
302:3Din;420;1;48
302:5Din;420;15;51
302:7Din;420;16;53
302:9Din;420;24;46
306:11Din;420;15;48
306:13Din;420;14;48
306:15Din;420;3;49
306:17Din;420;13;51
306:19Din;420;2;49
306:1Din;420;47;49
306:21Din;420;10;49
306:23Din;420;22;49
306:25Din;420;11;49
306:27Din;420;15;48
306:29Din;420;18;49
306:3Din;420;60;48
306:5Din;420;39;49
306:7Din;420;6;49
306:9Din;420;6;50
402:10Din;420;26;50
402:12Din;420;3;51
402:14Din;420;33;47
402:16Din;420;29;49
402:18Din;420;3;48
402:1Din;420;60;52
402:3Din;420;34;47
402:5Din;420;22;47
402:8Din;420;1;49
404:11Din;420;8;50
404:13Din;420;54;50
404:15Din;420;50;49
404:17Din;420;0;50
404:1Din;420;27;50
404:20Din;420;37;50
404:21Din;420;62;51
404:23Din;420;29;50
404:3Din;420;29;48
404:5Din;420;3;48
404:8Din;420;49;50
404:9Din;420;23;49
502:11Din;420;134;49
502:13Din;420;53;49
502:15Din;420;6;48
502:17Din;420;44;50
502:19Din;420;22;46
502:1Din;420;5;49
502:21Din;420;41;48
502:23Din;420;22;48
502:3Din;420;27;48
502:5Din;420;23;48
502:7Din;420;26;49
502:9Din;420;13;48
601:11Din;420;23;50
601:13Din;420;10;48
601:15Din;420;0;48
601:17Din;420;2;49
601:1Din;420;10;48
601:7Din;420;8;48
302:11Din;480;118;48
302:13Din;480;61;51
302:15Din;480;62;47
302:17Din;480;19;47
302:19Din;480;52;48
302:1Din;480;5;49
302:21Din;480;131;47
302:22Din;480;80;49
302:24Din;480;38;48
302:25Din;480;34;49
302:27Din;480;209;48
302:29Din;480;109;51
302:3Din;480;21;49
302:5Din;480;115;49
302:7Din;480;105;47
302:9Din;480;196;47
306:11Din;480;81;48
306:13Din;480;126;48
306:15Din;480;31;48
306:17Din;480;43;50
306:19Din;480;11;50
306:1Din;480;189;50
306:21Din;480;67;49
306:23Din;480;90;49
306:25Din;480;44;48
306:27Din;480;193;48
306:29Din;480;128;49
306:3Din;480;220;48
306:5Din;480;201;49
306:7Din;480;24;50
306:9Din;480;53;49
402:10Din;480;82;49
402:12Din;480;53;52
402:14Din;480;80;50
402:16Din;480;81;51
402:18Din;480;51;52
402:1Din;480;215;52
402:3Din;480;181;47
402:5Din;480;158;50
402:8Din;480;4;46
404:11Din;480;32;49
404:13Din;480;210;49
404:15Din;480;164;51
404:17Din;480;0;48
404:1Din;480;137;48
404:20Din;480;62;49
404:21Din;480;237;50
404:23Din;480;157;50
404:3Din;480;167;48
404:5Din;480;36;49
404:8Din;480;113;48
404:9Din;480;177;49
502:11Din;480;291;48
502:13Din;480;250;48
502:15Din;480;74;46
502:17Din;480;137;50
502:19Din;480;204;50
502:1Din;480;35;50
502:21Din;480;286;52
502:23Din;480;103;47
502:3Din;480;134;49
502:5Din;480;140;49
502:7Din;480;120;48
502:9Din;480;59;49
601:11Din;480;75;49
601:13Din;480;54;50
601:15Din;480;0;49
601:17Din;480;16;49
601:1Din;480;47;51
601:5Din;480;0;49
601:7Din;480;43;46
302:11Din;540;135;51
302:13Din;540;49;50
302:15Din;540;57;48
302:17Din;540;30;50
302:19Din;540;66;51
